lon,lat,alt,cum_dist_m,zone
-121.75778598722869,36.58353786620513,0.0,343.8466157341062,s1
-121.75778518303693,36.583519863443364,0.0,345.8456755599195,s1
-121.75778438271614,36.58350185919911,0.0,347.8448873429799,s1
-121.7577835877513,36.58348385341649,0.0,349.84425260914867,s1
-121.75778279955713,36.58346585177723,0.0,351.84313690054927,s1
-121.75778201864074,36.583447842469965,0.0,353.8428487029338,s1
-121.75778124653763,36.58342984370958,0.0,355.84136340417666,s1
-121.7577804828173,36.583411830657795,0.0,357.84143728722233,s1
-121.75777972921432,36.58339383480061,0.0,359.8395734331963,s1
-121.75777898444653,36.583375818134016,0.0,361.83999097383946,s1
-121.7577782504566,36.58335782488264,0.0,363.83777962270625,s1
-121.75777752525255,36.58333980513744,0.0,365.83848103210755,s1
-121.7577768109415,36.583321813832235,0.0,367.83599668091585,s1
-121.75777610502296,36.58330379196724,0.0,369.8368779512851,s1
-121.7577754096734,36.58328580160434,0.0,371.8342354838833,s1
-121.75777472214423,36.583267778970374,0.0,373.8351507452806,s1
-121.757774044565,36.58324978827917,0.0,375.8324957645239,s1
-121.75777337424078,36.58323176651813,0.0,377.83326743349517,s1
-121.75777271314125,36.58321377410097,0.0,379.8307596540857,s1
-121.7577720589638,36.58319575497192,0.0,381.8311965585529,s1
-121.75777141343217,36.58317775948248,0.0,383.8289887717463,s1
-121.75777077498921,36.58315974466154,0.0,385.8289070725368,s1
-121.75777014508239,36.58314174495358,0.0,387.82712726998716,s1
-121.75776952323764,36.58312373576093,0.0,389.8263793441353,s1
-121.75776891070879,36.583105731045926,0.0,391.82511167832564,s2
-121.75776830840651,36.58308772843764,0.0,393.82358542061667,s2
-121.75776771745582,36.58306971807034,0.0,395.8228927257488,s2
-121.7577671406695,36.583051722419455,0.0,397.82053436424883,s2
-121.75776658036666,36.58303370536704,0.0,399.82051259554856,s2
-121.7577660386107,36.58301571593453,0.0,401.8173858201376,s2
-121.75776550711758,36.582997691230105,0.0,403.8181499593139,s2
-121.75776496409622,36.58297970759906,0.0,405.8143823274461,s2
-121.75776434712765,36.58296167676394,0.0,407.81602299609216,s2
-121.75776359274761,36.582943703205956,0.0,409.81168822792927,s2
-121.75776262070022,36.58292567381497,0.0,411.81429731806884,s2
-121.75776136169812,36.58290772308041,0.0,413.8094716347152,s2
-121.75775972477625,36.582889716206125,0.0,415.81305456759765,s2
-121.75775764696766,36.582871816267634,0.0,417.8080930879154,s2
-121.75775503848513,36.58285387984659,0.0,419.81213826967866,s2
-121.75775185606894,36.58283607539455,0.0,421.8083182505907,s2
-121.75774802601828,36.58281829790162,0.0,423.81064115983713,s2
-121.75774351524056,36.582800643639246,0.0,425.8108925871177,s2
-121.75773829361222,36.58278313523179,0.0,427.8092073450873,s2
-121.75773230236574,36.5827657138403,0.0,429.81543565272096,s2
-121.75772558689431,36.58274857712245,0.0,431.80980623800144,s2
-121.7577180348403,36.58273151370008,0.0,433.8203401331783,s2
-121.7577097797749,36.582714854975386,0.0,435.81111788591886,s2
-121.7577006466534,36.58269828340135,0.0,437.8235345377604,s2
-121.75769086079886,36.582682218702445,0.0,439.8097422211429,s2
-121.75768017017636,36.58266626216515,0.0,441.82239186363796,s2
-121.757668893666,36.58265090720886,0.0,443.8027671280314,s2
-121.75765667207752,36.58263569880199,0.0,445.8138865948276,s2
-121.75764380786964,36.58262111163107,0.0,447.80028566243794,s2
-121.75763001561522,36.58260693177709,0.0,449.80019416117017,s2
-121.75761536937149,36.582593413600094,0.0,451.79229574236916,s2
-121.75759974864907,36.5825805518516,0.0,453.7901608009379,s2
-121.75758327245845,36.58256847736311,0.0,455.7825573178349,s2
-121.75756583593251,36.582557128320126,0.0,457.7878613516551,s2
-121.75754774921172,36.58254670218882,0.0,459.77752610443605,s2
-121.75752872909446,36.58253704679363,0.0,461.7888898145404,s2
-121.75750925606545,36.582528415614846,0.0,463.7775031473942,s2
-121.75748896167443,36.58252065001172,0.0,465.7878338608174,s2
-121.75746831439885,36.582513940000744,0.0,467.7800643786475,s2
-121.75744706783937,36.58250819588602,0.0,469.7855416128229,s2
-121.75742551960842,36.58250349855485,0.0,471.7832271763888,s2
-121.75740363497039,36.582499817252966,0.0,473.78396337332333,s2
-121.75738151207634,36.58249715333133,0.0,475.7858202530215,s2
-121.75735929590054,36.5824954888381,0.0,477.7826396866316,s2
-121.75733691905889,36.58249478831625,0.0,479.7867850434026,s2
-121.75731463341519,36.58249501675113,0.0,481.7814214474476,s2
-121.75729228603636,36.58249613485099,0.0,483.78526677076616,s2
-121.75727013246672,36.58249808826994,0.0,485.77973687376004,s2
-121.7572480329717,36.582500849594155,0.0,487.7811489258612,s2
-121.75722616768687,36.58250436548034,0.0,489.7765193272434,s2
-121.75720446539262,36.58250862242441,0.0,491.7754085176991,s2
-121.75718302960009,36.58251358941575,0.0,493.77143675495716,s2
-121.75716183911345,36.58251927253911,0.0,495.770010404039,s2
-121.75714099157224,36.58252566058129,0.0,497.7659085884099,s2
-121.75712046024654,36.58253279089863,0.0,499.7665017999442,s2
-121.75710040185346,36.582540647171,0.0,501.7621457461079,s2
-121.75708076279837,36.58254929777862,0.0,503.7648258417798,s2
-121.75706174635921,36.58255870577314,0.0,505.7614190966985,s2
-121.75704331637003,36.5825689389815,0.0,507.7639384898684,s2
